Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Location,Latitude,Longitude,Found,Quality,Source,Overlay,Overlay Transparency,
"""It is time that Our Story is told: The story of our courage, strength and ultimate success. That we went to war to get our land back and we got it back. It is long passed time that we properly honor our warriors and express our gratitude to their families.""<br><br>Scroll through these slides to travel to areas on the map that show important places from this historic struggle.  There are many more untold stories and places not included in this map because they have not been shared or recorded.  ",,,,,8,,47.07123,-122.72621,,,,https://mapwarper.net/maps/tile/40519/{z}/{x}/{y}.png,,"terrain, rivers - lidar image maybe"
"War Declared
December 24-26, 1854 <br> 
Nisqually Delta, Medicine Creek Treaty Tree",media/med. creek tree.jpg,"University of Washington Libraries, Special Collections, CUR1183",https://digitalcollections.lib.washington.edu/digital/collection/curtis/id/1082/rec/1,"""War was declared on us at the Medicine Creek Treaty Council when a short, self-important tyrant named Governor Stevens, presented a treaty to our people taking all our land for no money paid, that reserved just two sections of our land for Squaxin, two sections of our land for the Nisquallies and two sections of our land for all the Puyallups. And zero acres for the Muckleshoot. A month later, at the Point Elliott treaty council, zero land was reserved for Muckleshoot. ""
",11,,47.09,-122.72621,,,,https://mapwarper.net/maps/tile/40519/{z}/{x}/{y}.png,,add historic overlay of 1854 and zoom to point 1
Indian Warriors,media/Warrior_Monument.png,"Source: Warrior Project, KingGeorge",,,8,,47.302,-121.334,,,,https://mapwarper.net/maps/tile/40480/{z}/{x}/{y}.png,,
Leschi,media/Leshi.png,"Raphael Coombs, Washington State Historical Society, 200",http://www.washingtonhistory.org/collections/item.aspx?irn=44191&record=29,"LESCHI, NISQUALLY CHIEF: Rallied an alliance of family in a great circle reaching on both sides of the Cascades.  He succeeded in bringing about the expansion of the Nisqually and Puyallup Reservations to a level that would allow our survival. His efforts resulted in the establishment of the Muckleshoot Reservation, when there had been no land set aside for Muckleshoot under either treaty.
<br><br>
“Leschi was as good a friend as we ever had. He was dignified in his intercourse and proud of his country, and, I may say, proud of himself. He had a benevolent countenance that unmistakably stamped him as a good man. Leschi told me before going to the war that the Indians would not hurt any of the settlers, and advised us to stay on our farms, which we did. I never was afraid to go wherever I wanted to during the war and did as I wished."" (Owen Bush to Ezra Meeker, Pioneer Reminiscences.)",8,,47.302,-121.334,,,,https://mapwarper.net/maps/tile/40480/{z}/{x}/{y}.png,,overlay of pdf of the warriors
Owhi,media/Owhi.jpg,"Source: Warrior Project, KingGeorge",,"OWHI, Weyowitchi: described as the “senior statesman” of the First Treaty War. Owhi was both uncle and trusted advisor to Leschi. His family provided the firepower that resulted in our victory. His sons, Qualchan and Lokout, lead scores of warriors, whose names we may never know, to fight along side their relatives during the attack on Seattle on January 26, 1856. Owhi is central to the tapestry of the extended families that fought and won the war that resulted in the return of nearly 25,000 acres of Indian land at Muckleshoot, Puyallup and Nisqually. ",8,,47.302,-121.334,,,,https://mapwarper.net/maps/tile/40480/{z}/{x}/{y}.png,,
Lands Being Fought For:,,,,Burns Creek Village,12,,47.27655,-122.10992,,,,,,
,,,,Soos Creek Village,12,,47.3081,-122.17035,,,,,,
,,,,Ilalqo Village,12,,47.31619,-122.2071,,,,,,
"October 24th, 1855                           Muck Creek, Now JBLM
",,,,"Washington Territorial Volunteers under Capt. Charles Eaton, ordered by Acting Governor Charles Mason to apprehend Leschi. Leschi is not home, evidence of leaving in great haste.",10,,46.99772,-122.62836,,,,,,
"October 27, 1855  
Connell’s Prairie",https://www.youtube.com/embed/iutoP2TNMc4,,https://youtu.be/iutoP2TNMc4,"Connell and McAllister killed while illegally pursuing Leschi’s people.
<br><br>
""James McAllister was one of those “weak and needy” settlers who had been squatting for over ten years on Nisqually land. He wrote a letter to the Superintendent of Indian Affairs for Washington Territory claiming: 
'From the most reliable Indians that we have in this country, we have information and are satisfied that Leschi, a sub-chief and half Clickitat is and has been doing all that he could possibly do to unite the Indians of this country to raise against the Whites in a hostile manner and has had some join in with him already. Sir, I am of the opinion that he should be attended to as soon as convenient for fear that he might do something bad. Let his arrangements be stopped at once. Your attention to the above will be exceedingly appreciated by the people of Nisqually bottoms.' (McAllister, 1855)
<br><br>
""Acting Governor Mason responded to McAllister’s letter by authorizing a militia to be called Eaton’s Rangers. 
'Should you meet any unusual or suspicious assemblage of Indians, you will disarm them, and should they resist, disperse them, and put any who resist or use violence to death, or send them to Fort Steilacoom in irons, or bound as you may deem best.' (Mason 1855)
<br><br>
McAllister joined the rangers who promptly commenced the first military act of war. On October 24, 1855, armed with orders to kill resisters. They charged out to Chief Leschi’s home at Muck Creek to arrest Leschi and his brother Quiemuth. McAllister and Connell continued the pursuit from Muck Creek to one of Muckleshoot’s agriculturally rich prairies, Connell had been squatting on and had destroying the wild blueberry crop. On October 27, Tu-wa-pa-ti, took out McAllister, and also killed Connell.""
",15,,47.19166,-122.12488,,,,,,
